Name,2MASS Name,WISE Name,SDSS Name,Other Name,DiscRef,R.A. (h:m:s),Decl. (d:m:s),R.A. (deg),Decl. (deg),SpT_OPT,Ref,SpT_NIR,Ref,Peculiarities,Ref,Candidacy,Type,Ref,D_Trig,eD_Trig-,eD_Trig+,Ref,2MASS-WISE-μα,2MASS-WISE-μδ,μα,μδ,Ref,RV,Ref,2MASS-J,2MASS-H,2MASS-K,WISE-W1,WISE-W2,WISE-W3,WISE-W4,USNO-B,USNO-R,SDSS-u’,SDSS-g’,SDSS-r’,SDSS-i’,SDSS-z’,DENIS-I,DENIS-J,DENIS-KS,CSS-I,UCAC4-R,UCAC4-I,IRAC-ch1,Ref,IRAC-ch2,Ref,IRAC-ch3,Ref,IRAC-ch4,Ref,MKO-Y,Ref,MKO-J,Ref,MKO-H,Ref,MKO-K,Ref,MKO-L’,Ref,CH4on,Ref,CFHT-Y,Ref,VJ,Ref,RC,Ref,IC,Ref,InDwarfArchive,Comments
J0740+2317,07405342+2317240,074053.41+231723.8,,,West2008,7:40:53,23:17:24,115.22255,23.29,M7,West2008,...,...,Galactic Extinction > 0.2 mag,West2008,...,...,...,,,,,-12.9 ± 20.7,-10.4 ± 23.8,,,,,,16.327 ± 0.091,15.645 ± 0.121,15.282 ± 0.122,15.071 ± 0.046,14.748 ± 0.095,12.063,,,,24.33 ± 1.16,23.82 ± 0.45,21.94 ± 0.12,19.46 ± 0.02,18.07 ± 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0740+4114,07405577+4114097,074055.72+411409.0,,,West2008,7:40:56,41:14:10,115.23231,41.236,M8,Cruz2003,...,...,Galactic Extinction > 0.2 mag,West2008,...,...,...,,,,,-41.9 ± 6.5,-55.0 ± 9.3,,,,,,13.496 ± 0.018,12.809 ± 0.019,12.431 ± 0.019,12.189 ± 0.024,11.993 ± 0.026,12.290 ± 0.379,,,,24.99 ± 0.91,21.57 ± 0.06,19.94 ± 0.02,17.14 ± 0.01,15.59 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0741+3001,07410206+3001036,074102.11+300103.0,,,West2008,7:41:02,30:01:04,115.25869,30.01765,M6,West2008,...,...,Galactic Extinction > 0.2 mag,West2008,...,...,...,,,,,46.0 ± 7.5,-47.5 ± 11.2,,,,,,13.947 ± 0.023,13.381 ± 0.023,13.005 ± 0.027,12.784 ± 0.024,12.556 ± 0.027,11.938 ± 0.274,,,,24.65 ± 1.15,20.51 ± 0.03,18.86 ± 0.01,16.79 ± 0.01,15.61 ± 0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0741+1738,07410681+1738459,,,,,7:41:07,17:38:46,115.27841,17.646107,M7,Cruz2007,,,,,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0741+3835,07413895+3835129,,,,West2008,7:41:39,38:35:13,115.41226,38.58682,M6,West2008,...,...,Galactic Extinction > 0.2 mag,West2008,...,...,...,,,,,,,,,,,,16.488 ± 0.131,16.185 ± 0.241,15.300 ± 0.187,,,,,,,24.47 ± 1.07,23.19 ± 0.18,21.47 ± 0.08,19.31 ± 0.02,18.19 ± 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0741+3902,07414122+3902064,074141.19+390206.0,,,West2008,7:41:41,39:02:06,115.42175,39.03512,M6,West2008,...,...,Galactic Extinction > 0.2 mag,West2008,...,...,...,,,,,-34.8 ± 10.2,-37.2 ± 15.9,,,,,,15.614 ± 0.060,14.952 ± 0.072,14.516 ± 0.093,14.427 ± 0.033,14.205 ± 0.053,12.196,,,,24.31 ± 1.12,21.97 ± 0.07,20.43 ± 0.03,18.41 ± 0.02,17.25 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0741+2317,07415667+2317107,074156.70+231709.7,,,West2008,7:41:57,23:17:10,115.48618,23.28624,M8,West2008,...,...,Galactic Extinction > 0.2 mag,West2008,...,...,...,,,,,37.9 ± 13.4,-79.9 ± 15.9,,,,,,15.978 ± 0.078,15.286 ± 0.105,14.734 ± 0.085,14.684 ± 0.035,14.588 ± 0.072,12.679,,,,22.80 ± 0.47,23.88 ± 0.47,22.01 ± 0.13,19.40 ± 0.02,17.94 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0742+3137,07420088+3137556,074200.88+313755.6,,,West2008,7:42:01,31:37:56,115.5037,31.63209,M7,West2008,...,...,Galactic Extinction > 0.2 mag,West2008,...,...,...,,,,,-6.0 ± 13.7,-6.1 ± 17.5,,,,,,15.958 ± 0.068,15.211 ± 0.077,15.133 ± 0.120,14.770 ± 0.037,14.525 ± 0.073,12.49,,,,23.81 ± 0.75,23.71 ± 0.30,22.30 ± 0.13,19.45 ± 0.02,17.86 ± 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0742+2450,07420741+2450267,074207.47+245026.5,,,West2008,7:42:07,24:50:27,115.53097,24.84074,M6,West2008,...,...,Galactic Extinction > 0.2 mag,West2008,...,...,...,,,,,62.2 ± 14.1,-20.5 ± 16.9,,,,,,15.908 ± 0.057,15.317 ± 0.069,15.177 ± 0.114,14.745 ± 0.037,14.520 ± 0.069,12.488,,,,24.71 ± 0.95,22.31 ± 0.08,20.54 ± 0.03,18.59 ± 0.01,17.50 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0742+2338,07421481+2338203,074214.83+233820.0,,,West2008,7:42:15,23:38:20,115.56178,23.63895,M6,West2008,...,...,Galactic Extinction > 0.2 mag,West2008,...,...,...,,,,,19.7 ± 15.6,-27.1 ± 18.2,,,,,,15.946 ± 0.071,15.288 ± 0.101,14.960 ± 0.103,14.845 ± 0.039,15.001 ± 0.095,12.199,,,,24.24 ± 1.08,22.97 ± 0.16,21.14 ± 0.04,18.90 ± 0.01,17.66 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0742+2254,07421495+2254150,074214.94+225415.2,,,West2008,7:42:15,22:54:15,115.56224,22.90425,M9,West2008,...,...,Galactic Extinction > 0.2 mag,West2008,...,...,...,,,,,-7.7 ± 31.5,13.6 ± 36.0,,,,,,16.807 ± 0.155,16.113 ± 0.199,15.778 ± 0.201,15.630 ± 0.062,15.281 ± 0.130,12.237,,,,22.69 ± 0.45,23.98 ± 0.49,22.83 ± 0.44,20.53 ± 0.05,18.86 ± 0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0742+4126,07422750+4126211,074227.38+412618.7,,,West2008,7:42:27,41:26:21,115.61446,41.43913,M9,West2008,...,...,Galactic Extinction > 0.2 mag,West2008,...,...,...,,,,,-120.9 ± 7.1,-200.2 ± 10.2,,,,,,14.784 ± 0.032,14.018 ± 0.034,13.593 ± 0.038,13.302 ± 0.027,13.053 ± 0.031,12.374 ± 0.385,,,,24.18 ± 0.95,23.63 ± 0.27,21.46 ± 0.07,18.87 ± 0.02,17.08 ± 0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0742+3750,07423894+3750277,074238.93+375027.3,,,West2008,7:42:39,37:50:28,115.66225,37.84102,M6,West2008,...,...,Galactic Extinction > 0.2 mag,West2008,...,...,...,,,,,-5.9 ± 8.5,-32.2 ± 11.8,,,,,,14.970 ± 0.033,14.361 ± 0.044,14.002 ± 0.052,13.720 ± 0.028,13.505 ± 0.040,12.02,,,,23.23 ± 0.46,21.83 ± 0.06,20.20 ± 0.03,18.05 ± 0.02,16.82 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0742+2103,07424093+2103094,074240.84+210309.2,,,West2008,7:42:41,21:03:09,115.6704,21.05262,M8,West2008,...,...,Galactic Extinction > 0.2 mag,West2008,...,...,...,,,,,-112.0 ± 14.0,-15.6 ± 16.9,,,,,,16.000 ± 0.080,15.206 ± 0.099,14.934 ± 0.113,14.712 ± 0.037,14.538 ± 0.070,12.479 ± 0.457,,,,25.52 ± 0.74,23.77 ± 0.40,22.29 ± 0.15,19.43 ± 0.02,17.83 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0742+4004,07425532+4004471,,,,West2008,7:42:55,40:04:47,115.73053,40.07967,M6,West2008,...,...,Galactic Extinction > 0.2 mag,West2008,...,...,...,,,,,,,,,,,,16.462 ± 0.121,16.178 ± 0.209,15.463 ± 0.178,,,,,,,23.35 ± 0.51,23.42 ± 0.26,21.90 ± 0.10,19.40 ± 0.02,18.16 ± 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0743+4252,07430685+4252045,074306.82+425203.9,,,West2008,7:43:07,42:52:04,115.7785,42.86785,M6,West2008,...,...,Galactic Extinction > 0.2 mag,West2008,...,...,...,,,,,-31.2 ± 8.5,-59.7 ± 12.8,,,,,,15.042 ± 0.041,14.428 ± 0.045,14.149 ± 0.053,13.947 ± 0.031,13.681 ± 0.040,12.132,,,,25.86 ± 0.80,21.38 ± 0.05,19.82 ± 0.02,17.74 ± 0.01,16.60 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0743+4046,07430707+4046585,074307.06+404657.9,,,West2008,7:43:07,40:46:58,115.77948,40.78282,M8,West2008,...,...,Galactic Extinction > 0.2 mag,West2008,...,...,...,,,,,-6.0 ± 14.7,-55.7 ± 22.2,,,,,,16.362 ± 0.114,15.351 ± 0.121,15.356 ± 0.174,14.959 ± 0.039,14.723 ± 0.085,12.716,,,,24.95 ± 0.97,24.49 ± 0.59,22.40 ± 0.16,19.86 ± 0.03,18.35 ± 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0743+4045,07430837+4045473,074308.36+404546.8,,,West2008,7:43:08,40:45:47,115.78486,40.76311,M6,West2008,...,...,Galactic Extinction > 0.2 mag,West2008,...,...,...,,,,,-13.6 ± 9.5,-45.0 ± 13.3,,,,,,15.291 ± 0.048,14.804 ± 0.074,14.452 ± 0.080,14.244 ± 0.030,13.998 ± 0.050,12.04,,,,23.60 ± 0.69,22.03 ± 0.09,20.40 ± 0.03,18.22 ± 0.01,17.05 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0743+3254,07431194+3254435,074311.99+325443.2,,,West2008,7:43:12,32:54:44,115.79986,32.9121,M6,West2008,...,...,Galactic Extinction > 0.2 mag,West2008,...,...,...,,,,,45.1 ± 27.3,-30.0 ± 36.0,,,,,,16.852 ± 0.160,16.366 ± 0.227,15.635 ± 0.189,15.623 ± 0.061,15.248 ± 0.119,12.579,,,,22.96 ± 0.40,22.56 ± 0.13,21.17 ± 0.05,19.30 ± 0.02,18.25 ± 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0743+2330,07431317+2330386,074313.10+233036.8,,,West2008,7:43:13,23:30:38,115.8048,23.5106,M7,West2008,...,...,Galactic Extinction > 0.2 mag,West2008,...,...,...,,,,,-70.2 ± 14.3,-147.3 ± 15.6,,,,,,15.825 ± 0.052,15.163 ± 0.062,14.840 ± 0.080,14.584 ± 0.037,14.372 ± 0.064,12.14,,,,25.40 ± 0.86,23.19 ± 0.20,21.77 ± 0.08,19.07 ± 0.02,17.62 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0743+2910,07431592+2910157,074315.94+291015.9,,,West2008,7:43:16,29:10:16,115.81639,29.17105,M6,West2008,...,...,...,...,...,...,...,,,,,19.5 ± 26.6,11.2 ± 34.6,,,,,,16.846 ± 0.117,16.183 ± 0.134,15.675 ± 0.182,15.655 ± 0.061,15.345 ± 0.142,12.455 ± 0.501,,,,25.77 ± 0.61,22.67 ± 0.14,21.27 ± 0.05,19.31 ± 0.02,18.27 ± 0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0743+3205,07431597+3205099,074315.97+320509.6,,,West2008,7:43:16,32:05:10,115.81657,32.08603,M6,West2008,...,...,Galactic Extinction > 0.2 mag,West2008,...,...,...,,,,,-5.5 ± 17.4,-29.5 ± 22.7,,,,,,16.185 ± 0.084,15.448 ± 0.096,15.298 ± 0.135,15.144 ± 0.043,15.020 ± 0.099,12.654,,,,22.13 ± 0.19,22.33 ± 0.10,20.87 ± 0.04,18.94 ± 0.02,17.80 ± 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0743+2412,07431691+2412519,074316.93+241251.8,,,West2008,7:43:17,24:12:52,115.82049,24.21443,M6,West2008,...,...,Galactic Extinction > 0.2 mag,West2008,...,...,...,,,,,17.5 ± 9.5,-4.4 ± 12.1,,,,,,14.933 ± 0.030,14.346 ± 0.030,13.960 ± 0.041,13.769 ± 0.027,13.594 ± 0.037,12.279 ± 0.356,,,,24.96 ± 1.40,21.86 ± 0.07,20.39 ± 0.04,17.92 ± 0.02,16.71 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0743+3926,07432276+3926422,074322.76+392641.8,,,West2008,7:43:23,39:26:42,115.8448,39.44506,M6,West2008,...,...,Galactic Extinction > 0.2 mag,West2008,...,...,...,,,,,0.9 ± 10.6,-29.2 ± 15.2,,,,,,15.809 ± 0.067,15.158 ± 0.090,14.848 ± 0.102,14.633 ± 0.033,14.415 ± 0.060,11.99,,,,25.36 ± 0.92,22.82 ± 0.15,21.10 ± 0.06,18.83 ± 0.01,17.56 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0743+2246,07432475+2246537,,,,West2008,7:43:25,22:46:54,115.85318,22.78174,M6,West2008,...,...,Galactic Extinction > 0.2 mag,West2008,...,...,...,,,,,,,,,,,,17.044 ± 0.158,16.187 ± 0.174,15.927 ± 0.218,,,,,,,23.40 ± 0.50,23.33 ± 0.24,21.60 ± 0.08,19.49 ± 0.02,18.44 ± 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0743+4302,07432625+4302550,074326.25+430254.6,,,West2008,7:43:26,43:02:55,115.85935,43.04858,M6,West2008,...,...,Galactic Extinction > 0.2 mag,West2008,...,...,...,,,,,-0.3 ± 8.6,-35.0 ± 12.7,,,,,,15.226 ± 0.046,14.651 ± 0.062,14.325 ± 0.053,14.064 ± 0.029,13.852 ± 0.043,12.554,,,,25.28 ± 1.15,22.32 ± 0.10,20.69 ± 0.04,18.37 ± 0.02,17.05 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0743+2038,07432957+2038286,074329.55+203827.7,,,West2008,7:43:30,20:38:28,115.87319,20.64121,M7,West2008,...,...,Galactic Extinction > 0.2 mag,West2008,...,...,...,,,,,-21.2 ± 23.3,-71.1 ± 26.0,,,,,,16.375 ± 0.090,15.593 ± 0.098,15.412 ± 0.129,15.295 ± 0.049,15.192 ± 0.127,12.492,,,,24.78 ± 1.21,23.27 ± 0.26,21.75 ± 0.09,19.36 ± 0.02,18.02 ± 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0743+2516,07433736+2516432,074337.36+251642.8,,,West2008,7:43:37,25:16:42,115.90569,25.27861,M7,West2008,...,...,Galactic Extinction > 0.2 mag,West2008,...,...,...,,,,,-8.8 ± 31.8,-40.0 ± 38.3,,,,,,17.074 ± 0.146,16.378 ± 0.149,>15.521,15.839 ± 0.070,15.680 ± 0.185,12.551,,,,24.75 ± 1.01,24.22 ± 0.46,23.30 ± 0.31,20.37 ± 0.04,18.86 ± 0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0743+3156,07434089+3156593,074340.87+315659.0,,,West2008,7:43:41,31:56:59,115.92038,31.94979,M6,West2008,...,...,Galactic Extinction > 0.2 mag,West2008,...,...,...,,,,,-23.2 ± 10.4,-19.7 ± 13.0,,,,,,15.304 ± 0.038,14.776 ± 0.055,14.463 ± 0.071,14.149 ± 0.032,13.837 ± 0.044,12.614,,,,24.43 ± 1.03,21.96 ± 0.07,20.29 ± 0.03,18.13 ± 0.01,16.97 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0743+2510,07434136+2510494,074341.35+251049.2,,,West2008,7:43:41,25:10:49,115.92232,25.18034,M6,West2008,...,...,Galactic Extinction > 0.2 mag,West2008,...,...,...,,,,,-16.3 ± 26.5,-12.5 ± 33.7,,,,,,16.665 ± 0.099,15.963 ± 0.111,15.688 ± 0.182,15.583 ± 0.057,15.347 ± 0.145,12.625,,,,24.85 ± 0.96,23.43 ± 0.21,21.47 ± 0.05,19.43 ± 0.03,18.31 ± 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0743+2002,07434330+2002415,074343.32+200242.1,,,West2008,7:43:43,20:02:42,115.93046,20.04495,M6,West2008,...,...,Galactic Extinction > 0.2 mag,West2008,...,...,...,,,,,20.5 ± 33.7,44.3 ± 36.1,,,,,,16.649 ± 0.112,15.819 ± 0.121,16.149 ± 0.267,15.553 ± 0.058,15.310 ± 0.133,11.264 ± 0.161,,,,23.32 ± 0.58,23.06 ± 0.23,21.48 ± 0.07,19.23 ± 0.02,18.14 ± 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0743+2432,07435582+2432596,074355.80+243259.3,,,West2008,7:43:56,24:33:00,115.9826,24.5499,M6,West2008,...,...,Galactic Extinction > 0.2 mag,West2008,...,...,...,,,,,-16.6 ± 15.1,-19.7 ± 18.1,,,,,,15.928 ± 0.053,15.316 ± 0.063,15.086 ± 0.099,14.783 ± 0.038,14.522 ± 0.072,11.941 ± 0.295,,,,24.34 ± 0.84,22.27 ± 0.09,20.76 ± 0.03,18.68 ± 0.02,17.51 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0743+2520,07435989+2520477,074359.86+252047.9,,,West2008,7:44:00,25:20:48,115.99954,25.34657,M6,West2008,...,...,Galactic Extinction > 0.2 mag,West2008,...,...,...,,,,,-35.4 ± 22.4,17.0 ± 27.7,,,,,,16.438 ± 0.079,15.913 ± 0.099,15.369 ± 0.142,15.365 ± 0.051,15.184 ± 0.115,12.36,,,,25.06 ± 0.94,22.94 ± 0.19,21.29 ± 0.06,19.18 ± 0.02,18.10 ± 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0744+3736,07440851+3736564,074408.50+373656.3,,,West2008,7:44:09,37:36:56,116.03546,37.61565,M6,West2008,...,...,Galactic Extinction > 0.2 mag,West2008,...,...,...,,,,,-10.8 ± 11.4,-10.7 ± 15.8,,,,,,15.838 ± 0.069,15.185 ± 0.100,14.833 ± 0.097,14.655 ± 0.034,14.365 ± 0.065,11.958,,,,25.37 ± 0.77,21.96 ± 0.08,20.42 ± 0.03,18.49 ± 0.01,17.40 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0744+3113,07441167+3113162,074411.63+311315.9,,,West2008,7:44:12,31:13:16,116.04852,31.22113,M6,West2008,...,...,Galactic Extinction > 0.2 mag,West2008,...,...,...,,,,,-37.8 ± 22.0,-24.9 ± 26.8,,,,,,16.294 ± 0.090,15.730 ± 0.130,15.411 ± 0.156,15.176 ± 0.046,15.023 ± 0.110,12.365,,,,24.41 ± 0.97,22.76 ± 0.15,21.33 ± 0.06,19.18 ± 0.02,18.00 ± 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0744+3604,07441519+3604484,074415.15+360448.3,,,West2008,7:44:15,36:04:48,116.0633,36.08011,M6,West2008,...,...,Galactic Extinction > 0.2 mag,West2008,...,...,...,,,,,-47.6 ± 14.7,-5.6 ± 19.6,,,,,,15.954 ± 0.077,15.378 ± 0.116,15.167 ± 0.136,14.900 ± 0.039,14.884 ± 0.093,12.674,,,,23.70 ± 0.55,22.32 ± 0.09,20.84 ± 0.04,18.80 ± 0.02,17.75 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0744+1924,07442148+1924322,,,,West2008,7:44:21,19:24:32,116.08951,19.40894,M6,West2008,...,...,Galactic Extinction > 0.2 mag,West2008,...,...,...,,,,,,,,,,,,16.449 ± 0.088,15.707 ± 0.102,15.346 ± 0.118,,,,,,,25.14 ± 0.81,22.81 ± 0.15,21.00 ± 0.04,19.17 ± 0.02,18.14 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0744+4202,07443246+4202362,074432.45+420235.5,,,West2008,7:44:32,42:02:36,116.13521,42.04335,M8,West2008,...,...,Galactic Extinction > 0.2 mag,West2008,...,...,...,,,,,-10.7 ± 23.4,-58.5 ± 35.8,,,,,,16.744 ± 0.144,15.952 ± 0.150,15.729 ± 0.224,15.654 ± 0.056,15.444 ± 0.139,12.246,,,,24.64 ± 0.93,24.59 ± 0.56,22.98 ± 0.28,20.57 ± 0.05,18.86 ± 0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0744+4123,07443264+4123026,074432.65+412301.5,,,West2008,7:44:33,41:23:02,116.13601,41.38401,M6,West2008,...,...,Galactic Extinction > 0.2 mag,West2008,...,...,...,,,,,8.3 ± 6.5,-85.2 ± 9.8,,,,,,13.923 ± 0.021,13.289 ± 0.022,12.958 ± 0.027,12.734 ± 0.024,12.566 ± 0.028,12.347,,,,24.96 ± 1.04,20.28 ± 0.02,18.71 ± 0.01,16.70 ± 0.02,15.63 ± 0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0744+3207,07443463+3207054,074434.62+320704.9,,,West2008,7:44:35,32:07:05,116.1442,32.11809,M9,West2008,...,...,Galactic Extinction > 0.2 mag,West2008,...,...,...,,,,,-10.0 ± 17.8,-41.0 ± 23.6,,,,,,16.332 ± 0.089,15.662 ± 0.119,15.414 ± 0.159,14.887 ± 0.037,14.999 ± 0.098,12.64,,,,24.30 ± 0.93,24.51 ± 0.50,23.17 ± 0.30,20.58 ± 0.05,18.66 ± 0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0744+2954,07445390+2954497,074453.90+295449.4,,,West2008,7:44:54,29:54:50,116.22461,29.91379,M6,West2008,...,...,Galactic Extinction > 0.2 mag,West2008,...,...,...,,,,,5.0 ± 13.3,-27.5 ± 16.9,,,,,,15.855 ± 0.063,15.191 ± 0.078,14.845 ± 0.094,14.735 ± 0.037,14.611 ± 0.070,12.712,,,,22.86 ± 0.44,22.27 ± 0.09,20.60 ± 0.03,18.98 ± 0.02,17.64 ± 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0744+3918,07445500+3918182,074455.00+391817.7,,,West2008,7:44:55,39:18:18,116.22919,39.30504,M7,West2008,...,...,Galactic Extinction > 0.2 mag,West2008,...,...,...,,,,,0.2 ± 9.6,-34.2 ± 14.2,,,,,,15.533 ± 0.057,14.854 ± 0.075,14.640 ± 0.087,14.300 ± 0.032,14.107 ± 0.050,12.102 ± 0.280,,,,23.49 ± 0.52,22.44 ± 0.11,20.98 ± 0.04,18.67 ± 0.02,17.36 ± 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0745+4224,07450178+4224479,,,,West2008,7:45:02,42:24:48,116.25744,42.41332,M6,West2008,...,...,Galactic Extinction > 0.2 mag,West2008,...,...,...,,,,,,,,,,,,16.150 ± 0.084,15.397 ± 0.100,14.958 ± 0.112,,,,,,,24.54 ± 0.84,22.95 ± 0.17,21.30 ± 0.05,18.97 ± 0.02,17.75 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0745+3944,07450591+3944483,074505.94+394448.0,,,West2008,7:45:06,39:44:48,116.27464,39.74675,M6,West2008,...,...,Galactic Extinction > 0.2 mag,West2008,...,...,...,,,,,34.8 ± 18.3,-20.5 ± 27.1,,,,,,16.269 ± 0.105,15.844 ± 0.180,15.477 ± 0.184,15.090 ± 0.042,14.946 ± 0.100,12.131,,,,23.96 ± 0.88,23.05 ± 0.20,21.21 ± 0.06,19.08 ± 0.02,17.85 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0745+2123,07451410+2123570,074514.08+212356.8,,,West2008,7:45:14,21:23:57,116.30874,21.39916,M6,West2008,...,...,Galactic Extinction > 0.2 mag,West2008,...,...,...,,,,,-15.1 ± 11.5,-17.1 ± 13.8,,,,,,15.657 ± 0.047,14.998 ± 0.061,14.642 ± 0.077,14.347 ± 0.033,13.999 ± 0.048,12.660 ± 0.530,,,,22.95 ± 0.47,23.53 ± 0.31,21.02 ± 0.05,18.84 ± 0.02,17.51 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0745+5107,07451442+5107305,074514.37+510729.9,,,West2008,7:45:14,51:07:30,116.30993,51.12507,M6,West2008,...,...,Galactic Extinction > 0.2 mag,West2008,...,...,...,,,,,-42.1 ± 6.3,-55.0 ± 10.7,,,,,,14.687 ± 0.031,14.042 ± 0.043,13.650 ± 0.036,13.532 ± 0.026,13.330 ± 0.032,12.509 ± 0.404,,,,21.16 ± 0.11,17.79 ± 0.02,19.70 ± 0.02,17.60 ± 0.02,16.42 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0745+2457,07451793+2457383,,,,West2008,7:45:18,24:57:39,116.32485,24.96073,M6,West2008,...,...,Galactic Extinction > 0.2 mag,West2008,...,...,...,,,,,,,,,,,,16.651 ± 0.132,15.679 ± 0.154,15.305 ± 0.152,,,,,,,23.99 ± 0.76,22.99 ± 0.15,21.27 ± 0.05,19.20 ± 0.02,18.13 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0745+3216,07452177+3216380,,,,West2008,7:45:22,32:16:38,116.34072,32.27734,M7,West2008,...,...,Galactic Extinction > 0.2 mag,West2008,...,...,...,,,,,,,,,,,,16.516 ± 0.111,16.052 ± 0.154,15.255 ± 0.125,,,,,,,25.58 ± 0.69,24.63 ± 0.56,22.87 ± 0.25,20.21 ± 0.04,18.57 ± 0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0745+4048,07453613+4048087,,,,West2008,7:45:36,40:48:09,116.40034,40.8025,M6,West2008,...,...,Galactic Extinction > 0.2 mag,West2008,...,...,...,,,,,,,,,,,,16.674 ± 0.149,15.853 ± 0.177,15.625 ± 0.208,,,,,,,23.84 ± 0.72,22.96 ± 0.17,21.31 ± 0.06,19.47 ± 0.02,18.35 ± 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0745+1835,07454110+1835173,074541.09+183516.7,,,West2008,7:45:41,18:35:17,116.42125,18.58805,M8,West2008,...,...,...,...,...,...,...,,,,,-21.2 ± 11.5,-43.3 ± 12.4,,,,,,15.409 ± 0.042,14.713 ± 0.048,14.423 ± 0.062,14.086 ± 0.029,13.853 ± 0.046,11.906,,,,25.13 ± 0.89,23.54 ± 0.24,21.67 ± 0.07,18.88 ± 0.01,17.34 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
